S. No.,States/UTs,Persons Killed per 100 Accidents - 2011,Persons Killed per 100 Accidents - 2012,Persons Killed per 100 Accidents - 2013,Persons Killed per 100 Accidents - 2014,Persons Killed per 100 Accidents - 2015,Persons Killed per 100 Accidents - 2016
1,Andhra Pradesh,34.3,35.2,32.6,32.4,34.2,34.3
2,Arunachal Pradesh,47.9,55,46.4,58,44.7,59.8
3,Assam,35.7,35.1,33.9,35.3,34.4,34.6
4,Bihar,47.7,49,49.6,51.4,56.7,59.6
5,Chhattisgarh,21.1,23.4,25.5,29.1,28.3,28.8
6,Goa,7.3,6.8,6.2,6.9,7.2,7.8
7,Gujarat,26.5,28,30,33.5,35,37.2
8,Haryana,42.8,44.2,43.1,42,43.7,44.7
9,Himachal Pradesh,34.6,38.3,35.4,39.2,36.4,40.1
10,Jammu & Kashmir,16.8,17.4,15.3,16.9,15.7,17.4
11,Jharkhand,47.2,49.3,48.6,50.5,56,61.4
12,Karnataka,20.1,21.3,22.8,23.9,24.7,25.1
13,Kerala,11.8,11.8,12.1,11.2,10.8,10.9
14,Madhya Pradesh,15.9,16,16.6,16,17,17.9
15,Maharashtra,19.1,20.1,20.7,20.8,20.7,32.4
16,Manipur,22.8,20.5,24.6,22.6,20.7,15.1
17,Meghalaya,35.4,45.3,24.8,26,30.2,24.2
18,Mizoram,83.5,70,85.1,78,102.9,84.3
19,Nagaland,64.1,133.3,42.3,26.6,55.6,61.3
20,Odisha,40.5,39.9,42,40.7,40.8,42.4
21,Punjab,75.7,76,72.6,72.3,73,73
22,Rajasthan,39.7,41.5,41.2,41.8,43.7,45.4
23,Sikkim,26.1,34.8,27.9,29.1,32,40.5
24,Tamil Nadu,23.4,23.9,23.5,22.6,22.7,24.1
25,Telangana,NA,NA,NA,34.4,33.5,31.6
26,Tripura,29.4,30.6,27.6,26.3,24.4,31.1
27,Uttarakhand,62.1,57.3,59.1,62.3,59.9,60.5
28,Uttar Pradesh,73.5,53.9,52.3,52.5,54.5,54.3
29,West Bengal,37.9,43.9,44.3,45.6,47.2,48.2
30,Andaman & Nicobar Islands,7.3,10.6,20,10.6,8.9,7.1
31,Chandigarh,31.1,32.5,28.5,35.5,31,35.3
32,Dadra & Nagar Haveli,61.2,62.4,53.8,67.8,60.9,65.7
33,Daman & Diu,66,58,52.5,38.5,60,53.5
34,Delhi,28.4,26.9,24.1,19.4,20.1,21.6
35,Lakshadweep,0,0,0,0,0,100
36,Puducherry,15.7,16.3,15.7,13.6,15.4,13.8
National Average,National Average,28.6,28.2,28.3,28.5,29.1,31.4
